tweet,real_news
"zamalek continues its preparations for the el gouna match in the league.. and 3 deals are approaching to support the team
#ontime_news https://t.co/3fo2cxyx53",1
"sheikh salem al-amry, vice president of the arab athletics federation, and the administrative delegate of the arab cross country championship, visited the cairo international stadium.",1
"the arab contractors tested 3 foreigners under the age during the last period, in preparation for their registration in the team list to support the ranks of the wolves in the second half of the league.",1
"an urgent decision for caf today regarding the african nations cup, will it be postponed!!??",1
"al-masry refuses to postpone the al-ahly match in the league cup
#ontime_news https://t.co/cgx70sjdhy",1
"mahmoud hamdi, the famous monster with a winch, a thousand thanks",1
"al-ahly is preparing to face smouha at 6:00 pm next tuesday, at cairo international stadium, in the semi-finals of the egypt cup 2021-2022 edition.",1
the first football team of the ismaili club is resuming its preparations to face haras el hodood in the league competitions.,1
"al-ahly received a bitter defeat at the hands of its host, sun downs, with a score (2-5) in the fourth round of group two in the champions league, and al-ahly needs to beat al-qattan outside its stadium, then al-hilal in cairo, and reach 10 points.",1
"the board of directors of pharco club, headed by ezz el-din yashar, contracted with ihab galal as technical director of the club's first football team.",1
"tunisian hamza al-mathlouthi is close to leading the right front of zamalek in front of the sudanese mars, after recovering from injury",1
"ali fawzy, the enppi player, scored the second goal for his team against zamalek, made by rafik kabo, in the 67th minute of the match that currently brings them together at cairo international stadium.",1
"ahmed fekry al-saghir, the former ismaili player, confirmed that there is a major administrative and technical problem in the yellow castle, especially with regard to choosing players and new deals for the club.",1
"al-ahly is participating in the fifa world cup 2023, for the eighth time in its history, and the third in a row, and the red genie participated in 7 previous versions.",1
"the national team bus moved to the air defense stadium for the last training session before facing senegal
#ontime_news https://t.co/m1g3e4ld4g",1
"once again shawky gharib, technical director of the olympic team",1
"alaa ezzat: al-ahly will celebrate the league before the aswan match
#amr _ and _ alaa _ with _ saif",1
"fathi mabrouk explains his technical vision for the egypt national team match against senegal in the world cup qualifiers
#ontime_news https://t.co/za3nusy7h6",1
"dr.. 27 from the barcelona and real madrid match, and the negative tie continues",1
"assiut petroleum club leads the upper egypt group in the second division, with 41 points, a point behind the lavienna team, led by george galidi, the runner-up, with 40 points, after 18 rounds have passed so far in the competition.",1
marawan attia talks about the move to play for al-ahly and reveals his ambitions,1
"learn about the most important news and preparations of the egyptian national team for the 16th round match in the african nations, and is ""ahmed fattouh"" ready to participate
#ontime_news https://t.co/uzttxoidko",1
"mostafa schubert, al-ahly goalkeeper, arrived in austria, accompanied by dr. ahmed abu abla, head of the team's medical staff, to perform knee cartilage surgery.",1
"the portuguese josevaldo ferreira, coach of the first football team at zamalek club, prepares mohamed sobhy to guard the team's goal against smouha alexandria.",1
"alaa ezzat: al-ahly, who attended
#amr _ and _ alaa _ with _ saif",1
"officially.. the national team will face congo on may 30, without a fee",1
"enppi team defeated its counterpart, ceramica, with a clean goal scored by ahmed youssef in the second minute of the match that brought them together this evening, sunday, at cairo international stadium..",1
"muhammad al-yamani: omar marmoush is a very distinguished player
#ontime_news https://t.co/8fhsqff6ej",1
"the judicial committee opens registration in al-ahly general assembly after the end of friday prayers
the judicial committee supervising the meeting of the extraordinary general assembly to vote on the statute of the al-ahly club reopened the door to register members to participate in voting on the statute.",1
"the coaching staff of the arab contractors team, led by shawky gharib, is reviewing the previous matches of the haras el hodoud team in the league, the last of which was a negative tie with ceramica.",1
pharco team led ceramica with a goal without response in the first half of the match that brings the two teams together at alexandria stadium.,1
"""mohamed salah is not superman."" hamada sidqi explains his opinion on the egyptian national team's performance with queiroz and the criticisms that salah is exposed to during the tournament
#ontime_news https://t.co/b3usgayz9z",1
congratulations to al-ahly club for winning the general league championship....,1
"the month of december holds a strange coincidence for ashraf khadr, the general coach, who returned to the new coaching staff of the ismaili club's first football team, under the leadership of ahmed hossam mido.",1
"officially, baba vassiliou is the technical director of ghazl el mahalla, and is assisted by abdul baqi jamal",1
"nigerian john ibuka, striker of the first football team at ceramica club, agreed to move to the ranks of zamalek in the current winter transfers.",1
officials of the alexandrian federation are awaiting the return of angolan striker christopher mabululu from his country after the leave he obtained with the permission of the technical staff.,1
"zamalek is going through its training today in algeria, in preparation for facing belouizdad youth, the day after tomorrow, friday, in the fifth round of the group stage of the african champions league.",1
"mahmoud abdel moneim kahraba, the al-ahly player, left his team's match against aswan, which is currently being held at the latter's stadium, in the nineteenth round of the premier league competition.",1
"the women's volleyball team of al-ahly club defeated zamalek, 1/3, in the second round of the premier league for the local season 2022/2023.",1
"al-ahly continued to lead the egyptian league table after today's matches, friday 1-27-2022, with 37 points, and future came second with 31 points, while pyramids came in third place with 30 points..",1
"the egyptian youth team has not won the african nations championship for youth since the 2013 edition, that historic version in which the youth of the pharaohs won the title at the expense of ghana in the final.",1
"mortada mansour: mido jaber signed the contracts to join zamalek.. ""and congratulations to al-ahly.""",1
"today, sunday, mohamed zidane, the former star of the egyptian national team, celebrates his ""41st"" birthday, as he was born on december 11, 1981. zidane is one of the best egyptian players who played professionally in europe.",1
"al-ahly is not in a crisis at all. it happened before, losing several championships.. al-ahly is in a test for some of those who claim to be its sons, but unfortunately they are trying to destroy it, knowing that this is one of the fourth impossibilities.. because in short, al-ahly club",1
"the president of zamalek confirms egypt's support for saudi arabia in the opening of the world cup
counselor mortada mansour, chairman of the board of directors of zamalek club, wished success to the brotherly saudi team in its first match in the world cup scheduled for today against russia in the opening ceremony.",1
"today, thursday 12/1/2023, egyptian sports witnessed many important news, most notably the arrival of the international christo card..and the player is ready to participate in front of al-masry.",1
tell me your expectations for the el gouna and zamalek match?,1
"imam ashour, the player of the zamalek team, was able to score the goal of progress for a team against al-masry al-port said in the 19th minute of the first half.",1
"mahmoud metwally, al-ahly club defender, is close to returning to group training for his team, after he implemented the physiotherapy and rehabilitation program after suffering from a back muscle injury.",1
"among the 54 finals that al-ahly played for the egyptian cup title, it succeeded in achieving the record for winning the title 37 times, ""twice of which were participation with zamalek.""",1
"the handball team, led by spaniard barondo garcia, is preparing for its next matches in the handball world cup, which will be held in poland and sweden and will end on january 29.",1
amr el dardir: the board of directors is upset about what is happening with the club,1
"al-ahly coach marcel koller expressed his happiness after the broad victory that his team achieved over cameroonian cotton, by 4-0, in the match that brought them together today, friday, in romdi adjia, the fifth round of the group stage of the african champions league.",1
